Article,Variables,Trend,Timeseries length [yr],Period,Number of individual years covers,Frequency [obs/yr],Number of stations,Stations,River basin,Nation,Continent,Basin area [km2],Method,Method parameters,,,,,,,,
28,Dissolved oxygen,-,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = -95, p = 0.00, slope = -0.05, intercept = 9.98",,,,,,,,
28,suspended solids,-,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = -103, p = 0.00, slope = -0.07, intercept = 3.86",,,,,,,,
28,Biological oxygen demand,+,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = 70, p = 0.00, slope = 0.01, intercept = 1.02",,,,,,,,
28,Chemical oxygen demand,0,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = 29, p = 0.19, slope = 0.002, intercept = 3.11",,,,,,,,
28,total phosphorus,0,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = -54, p = 0.05, slope = -0.2, intercept = 25.34",,,,,,,,
28,total nitrogen,+,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = 78, p = 0.01, slope = 0.02, intercept = 1.49",,,,,,,,
28,Total dissolved phosphorus,0,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = 1, p = 0.5, slope = 0.0001, intercept = 0.011",,,,,,,,
28,phosphate,0,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = -51, p = 0.06, slope = -0.0001, intercept = 0.006",,,,,,,,
28,nitrate,-,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = -98, p = 0.00, slope = -0.01, intercept = 1.31",,,,,,,,
28,Ammonium,-,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = -90, p = 0.00, slope = -0.0018, intercept = 0.06",,,,,,,,
